40:41.5,
Population: ,225
Use-obstacle: ,FALSE
Start at nest?: ,TRUE
Maximum pheromone: ,35
Diffusion rate: ,0.25
Evaporation rate: ,0.025
Wiggle angle: ,72
Number of ticks: ,500
Spread all at the same time?: ,TRUE
Tick Marks,Mean Path Length
106,106
112,109
115,111
120,113.25
126,115.8
130,118.1666667
154,123.2857143
156,127.375
158,130.7777778
170,134.7
172,138.0909091
174,141.0833333
181,144.1538462
184,147
184,149.4666667
184,151.625
188,153.7647059
190,155.7777778
190,157.5789474
198,159.6
198,161.4285714
202,163.2727273
202,164.9565217
203,166.5416667
205,168.08
207,169.5769231
209,171.037037
213,172.5357143
215,174
215,175.3666667
217,176.7096774
218,178
218,179.2121212
218,180.3529412
220,181.4857143
220,182.5555556
220,183.5675676
226,184.6842105
227,185.7692308
230,186.875
231,187.9512195
232,189
233,190.0232558
234,191.0227273
238,192.0666667
239,193.0869565
239,194.0638298
240,195.0208333
240,195.9387755
241,196.84
242,197.7254902
242,198.5769231
243,199.4150943
245,200.2592593
247,201.1090909
247,201.9285714
247,202.7192982
251,203.5517241
252,204.3728814
253,205.1833333
253,205.9672131
255,206.7580645
259,207.5873016
259,208.390625
261,209.2
262,210
265,210.8208955
265,211.6176471
265,212.3913043
266,213.1571429
267,213.915493
268,214.6666667
268,215.3972603
269,216.1216216
273,216.88
273,217.6184211
274,218.3506494
274,219.0641026
274,219.7594937
275,220.45
276,221.1358025
276,221.804878
276,222.4578313
276,223.0952381
277,223.7294118
277,224.3488372
277,224.954023
278,225.5568182
278,226.1460674
281,226.7555556
281,227.3516484
282,227.9456522
284,228.5483871
285,229.1489362
286,229.7473684
286,230.3333333
290,230.9484536
290,231.5510204
291,232.1515152
291,232.74
292,233.3267327
293,233.9117647
293,234.4854369
293,235.0480769
295,235.6190476
296,236.1886792
297,236.7570093
297,237.3148148
298,237.8715596
301,238.4454545
301,239.009009
302,239.5714286
302,240.1238938
302,240.6666667
304,241.2173913
305,241.7672414
305,242.3076923
306,242.8474576
306,243.3781513
308,243.9166667
308,244.446281
311,244.9918033
312,245.5365854
314,246.0887097
317,246.656
317,247.2142857
318,247.7716535
320,248.3359375
320,248.8914729
320,249.4384615
320,249.9770992
321,250.5151515
323,251.0601504
323,251.5970149
324,252.1333333
328,252.6911765
328,253.2408759
329,253.7898551
330,254.3381295
331,254.8857143
333,255.4397163
333,255.9859155
333,256.5244755
335,257.0694444
335,257.6068966
336,258.1438356
336,258.6734694
337,259.2027027
337,259.7248322
337,260.24
338,260.7549669
338,261.2631579
341,261.7843137
341,262.2987013
343,262.8193548
346,263.3525641
348,263.8917197
349,264.4303797
351,264.9748428
352,265.51875
352,266.0559006
353,266.5925926
353,267.1226994
357,267.6707317
358,268.2181818
359,268.7650602
359,269.3053892
362,268.3095238
362,267.3076923
363,267.8705882
371,268.4736842
371,269.0697674
371,269.6589595
372,270.2471264
372,270.8285714
375,271.4204545
377,270.5254237
379,271.1348315
380,270.2849162
380,270.8944444
381,271.5027624
381,272.1043956
383,272.7103825
383,273.3097826
383,273.9027027
383,274.4892473
384,273.5721925
385,274.1648936
389,274.7724868
389,274.0105263
389,274.6125654
389,275.2083333
390,275.8031088
392,276.4020619
392,276.9948718
392,277.5816327
393,278.1675127
394,278.7525253
394,279.3316583
394,278.44
396,279.0248756
397,279.6089109
397,278.7389163
397,279.3186275
398,279.897561
401,280.4854369
403,279.8454106
404,280.4423077
405,281.0382775
406,280.1809524
407,279.2796209
407,279.8820755
411,279.0046948
411,279.6214953
416,280.255814
416,280.8842593
417,281.5115207
417,282.1330275
423,282.7762557
426,283.4272727
430,284.0904977
431,284.7522523
433,285.4170404
433,284.6517857
435,284.1511111
435,283.3584071
436,282.8061674
438,283.4868421
438,282.9694323
439,283.6478261
440,284.3246753
443,285.0086207
445,285.695279
451,285.0769231
462,284.4808511
463,283.7457627
465,282.9198312
468,283.697479
469,282.8995816
469,283.675
469,283.0954357
470,283.8677686
472,284.6419753
474,283.9098361
476,284.6938776
476,283.9837398
477,283.6477733
483,282.8870968
484,282.2248996
485,281.476
485,280.7091633
488,279.9642857
491,280.798419
491,280.0511811
492,279.2862745
494,278.5390625
496,277.8015564
498,277.0813953
498,276.3976834
500,275.6692308
500,274.9501916
